C_molecular weight,C_Topological Polar Surface Area,C_XLogP3,C_Hydrogen Bond Donor Count,C_Hydrogen Bond Acceptor Count,C_Rotatable Bond Count,C_Heavy Atom Count,C_Covalently-Bonded Unit Count,C_Compound Is Canonicalized,C_Boiling point,C_solute in water or not,C_relative density,C_Relative vapor pressure,C_Number of tautomers,C_Undefined Atom Stereocenter Count,C_Dielectric constant,C_logP,C_number of C,C_Complexity,C_Polarizability,C_Dipole moment,C_Eccentricity,D_molecular weight,D_Topological Polar Surface Area,D_XLogP3,D_Hydrogen Bond Donor Count,D_Hydrogen Bond Acceptor Count,D_Rotatable Bond Count,D_Heavy Atom Count,D_Covalently-Bonded Unit Count,D_Compound Is Canonicalized,D_Boiling point,D_solute in water or not,D_relative density,D_Relative vapor pressure,D_Number of tautomers,D_Undefined Atom Stereocenter Count,D_Dielectric constant,D_logP,D_number of C,D_Complexity,D_Polarizability,D_Dipole moment,D_Eccentricity,E_molecular weight,E_Topological Polar Surface Area,E_XLogP3,E_Hydrogen Bond Donor Count,E_Hydrogen Bond Acceptor Count,E_Rotatable Bond Count,E_Heavy Atom Count,E_Covalently-Bonded Unit Count,E_Compound Is Canonicalized,E_Boiling point,E_solute in water or not,E_relative density,E_Relative vapor pressure,E_Number of tautomers,E_Undefined Atom Stereocenter Count,E_Dielectric constant,E_logP,E_number of C,E_Complexity,E_Polarizability,E_Dipole moment,E_Eccentricity,stablity
92.14,0,2.7,0,0,0,7,1,1,110.6,0,0.87,3.1,0,0,2.38,2.73,7,42,12.32,0.375,0.264,99.13,20.3,-0.5,0,1,0,7,1,1,203,1,1.03,3.4,2,0,32.3,-0.4,5,90.1,10.6,4.09,0.3611,32.042,20.2,-0.5,1,1,0,2,1,1,64.7,1,0.79,1.1,0,0,32.7,-0.69,1,2,3.25,1.7,0.5625,1
108.14,20.2,1.1,1,1,1,8,1,1,205.3,1,1.04,3.7,0,0,1.66,1.1,7,55.4,12.96,1.7,0.3949,62.07,40.5,-1.4,2,2,1,4,1,1,197.3,1,1.1,2.1,0,0,37.7,-1.36,2,6,37,2.2,0.56,92.14,0,2.7,0,0,0,7,1,1,110.6,0,0.87,3.1,0,0,2.38,2.73,7,42,12.32,0.375,0.264,1
62.07,40.5,-1.4,2,2,1,4,1,1,197.3,1,1.1,2.1,0,0,37.7,-1.36,2,6,37,2.2,0.56,73.14,26,1,1,1,2,5,1,1,77,1,0.74,2.5,0,0,5.4,1.056,4,13.1,9.56,1.299,0.3289,99.13,20.3,-0.5,0,1,0,7,1,1,203,1,1.03,3.4,2,0,32.3,-0.4,5,90.1,10.6,4.09,0.3611,0
88.11,26.3,0.7,0,2,2,6,1,1,77.1,0,0.9,3,0,0,6.02,0.71,4,49.5,8.86,1.899,0.36199,108.14,20.2,1.1,1,1,1,8,1,1,205.3,1,1.04,3.7,0,0,1.66,1.1,7,55.4,12.96,1.7,0.3949,101.19,3.2,1.4,0,1,3,7,1,1,88.8,1,0.7,3.5,0,0,2.4,1.647,6,25.7,13.3,0.8999,0.3199,0
99.13,20.3,-0.5,0,1,0,7,1,1,203,1,1.03,3.4,2,0,32.3,-0.4,5,90.1,10.6,4.09,0.3611,114.229,0,3.9,0,0,5,8,1,1,125.62,0,0.7,3.94,0,0,2,5.18,8,25,15.5,0.07,0.393,60.05,37.3,-0.2,1,2,0,4,1,1,117.9,1,1.05,2.1,0,0,6.15,-0.322,2,31,5.1,1.299,0.4469,1
41.05,23.8,0,0,1,0,3,1,1,81.5,1,0.8,1.4,0,0,37.5,-0.334,2,29.3,4.45,3.5,0.32699,86.18,0,3.9,0,0,3,6,1,1,69,0,0.7,3,0,0,1.87,3.764,6,12,11.81,0.07,0.2977,73.14,26,1,1,1,2,5,1,1,77,1,0.74,2.5,0,0,5.4,1.056,4,13.1,9.56,1.299,0.3289,0
87.12,20.3,-0.8,0,1,0,6,1,1,165,1,0.94,3.01,0,0,37.6,-0.253,4,58.6,9.64,0,0.363,32.042,20.2,-0.5,1,1,0,2,1,1,64.7,1,0.79,1.1,0,0,32.7,-0.69,1,2,3.25,1.7,0.5625,88.11,26.3,0.7,0,2,2,6,1,1,77.1,0,0.9,3,0,0,6.02,0.71,4,49.5,8.86,1.899,0.36199,0
86.18,0,3.9,0,0,3,6,1,1,69,0,0.7,3,0,0,1.87,3.764,6,12,11.81,0.07,0.2977,60.095,20.2,0.3,1,1,0,4,1,1,82.3,1,0.79,2.1,0,0,19.92,0.05,3,10.8,6.91,1.7,0.665,86.09,26.3,-0.6,0,2,0,6,1,1,204,1,1.13,3,0,0,39,-0.76,4,67.9,8,4.02,0.369,1
46.07,20.2,-0.1,1,1,0,3,1,1,78.2,1,0.79,1.6,0,0,24.3,-0.18,2,2.8,5.09,1.69,0.644,86.09,26.3,-0.6,0,2,0,6,1,1,204,1,1.13,3,0,0,39,-0.76,4,67.9,8,4.02,0.369,76.09,40.5,-0.9,2,2,1,5,1,1,187.3,1,1.04,2.6,0,1,18.3,-0.92,3,20.9,7.52,3.599,1.106,1
32.042,20.2,-0.5,1,1,0,2,1,1,64.7,1,0.79,1.1,0,0,32.7,-0.69,1,2,3.25,1.7,0.5625,58.08,17.1,-0.1,0,1,0,4,1,1,56.08,1,0.8,2,2,0,20.7,-0.24,3,26.3,6.33,2.88,0.3071,86.18,0,3.9,0,0,3,6,1,1,69,0,0.7,3,0,0,1.87,3.764,6,12,11.81,0.07,0.2977,0
